lon,lat,depth,strike,dip,id,alen,blen,clen,slen,dlen
287.6,-22.4,4.2185503876,3.3646,0.0,28760224.0,100.0,20.0,100.0,20.0,20.0
287.8,-22.4,4.43070694087,3.3646,0.0,28780224.0,100.0,20.0,100.0,20.0,20.0
288.0,-22.4,4.55775988701,3.3646,0.0,28800224.0,100.0,20.0,100.0,20.0,20.0
287.6,-22.2,4.25018974359,3.7775,0.0,28760222.0,100.0,20.0,100.0,20.0,20.0
287.8,-22.2,4.43776804124,3.7775,0.0,28780222.0,100.0,20.0,100.0,20.0,20.0
288.0,-22.2,4.56697796143,3.7775,0.0,28800222.0,100.0,20.0,100.0,20.0,20.0
287.6,-22.0,4.2967890625,4.1903,0.0,28760220.0,100.0,20.0,100.0,20.0,20.0
287.8,-22.0,4.46960154242,4.1903,0.0,28780220.0,100.0,20.0,100.0,20.0,20.0
288.0,-22.0,4.58024022346,4.1903,0.0,28800220.0,100.0,20.0,100.0,20.0,20.0
287.6,-21.8,4.36563802083,4.3968,0.0,28760218.0,100.0,20.0,100.0,20.0,20.0
287.8,-21.8,4.50320822622,1.3432,0.0,28780218.0,100.0,20.0,100.0,20.0,20.0
288.0,-21.8,4.61794850949,1.3432,0.0,28800218.0,100.0,20.0,100.0,20.0,20.0
287.6,-21.6,4.43514095745,358.2896,0.0,28760216.0,100.0,20.0,100.0,20.0,20.0
287.8,-21.6,4.55725897436,358.2896,0.0,28780216.0,100.0,20.0,100.0,20.0,20.0
288.0,-21.6,4.63540607735,358.2896,0.0,28800216.0,100.0,20.0,100.0,20.0,20.0
287.6,-21.4,4.44685828877,355.236,0.0,28760214.0,100.0,20.0,100.0,20.0,20.0
287.8,-21.4,4.56232390746,355.236,0.0,28780214.0,100.0,20.0,100.0,20.0,20.0
288.0,-21.4,4.61346239554,355.236,0.0,28800214.0,100.0,20.0,100.0,20.0,20.0
287.6,-21.2,4.44011286089,354.0353,0.0,28760212.0,100.0,20.0,100.0,20.0,20.0
287.8,-21.2,4.51926804124,353.1088,0.0,28780212.0,100.0,20.0,100.0,20.0,20.0
288.0,-21.2,4.55985558583,353.1088,0.0,28800212.0,100.0,20.0,100.0,20.0,20.0
287.6,-21.0,4.39949602122,354.9617,0.0,28760210.0,100.0,20.0,100.0,20.0,20.0
287.8,-21.0,4.48509326425,354.9617,0.0,28780210.0,100.0,20.0,100.0,20.0,20.0
288.0,-21.0,4.53170949721,354.9617,0.0,28800210.0,100.0,20.0,100.0,20.0,20.0
287.6,-20.8,4.38434895833,355.8881,0.0,28760208.0,100.0,20.0,100.0,20.0,20.0
287.8,-20.8,4.47657552083,355.8881,0.0,28780208.0,100.0,20.0,100.0,20.0,20.0
288.0,-20.8,4.53465833333,355.8881,0.0,28800208.0,100.0,20.0,100.0,20.0,20.0
287.6,-20.6,4.38318110236,350.4286,0.0,28760206.0,100.0,20.0,100.0,20.0,20.0
287.8,-20.6,4.49006806283,350.4286,0.0,28780206.0,100.0,20.0,100.0,20.0,20.0
288.0,-20.6,4.52675792507,350.4286,0.0,28800206.0,100.0,20.0,100.0,20.0,20.0
287.6,-20.4,4.41777922078,342.3552,0.0,28760204.0,100.0,20.0,100.0,20.0,20.0
287.8,-20.4,4.52006878307,347.6988,0.0,28780204.0,100.0,20.0,100.0,20.0,20.0
288.0,-20.4,4.55811988304,347.6988,0.0,28800204.0,100.0,20.0,100.0,20.0,20.0
287.6,-20.2,4.48754060914,337.1273,0.0,28760202.0,100.0,20.0,100.0,20.0,20.0
287.8,-20.2,4.55351761518,339.7413,0.0,28780202.0,100.0,20.0,100.0,20.0,20.0
288.0,-20.2,4.59493452381,339.7413,0.0,28800202.0,100.0,20.0,100.0,20.0,20.0
287.4,-20.0,4.46525526316,326.9732,0.0,28740200.0,100.0,20.0,100.0,20.0,20.0
287.6,-20.0,4.55726753247,330.7433,0.0,28760200.0,100.0,20.0,100.0,20.0,20.0
287.8,-20.0,4.60685674157,330.7433,0.0,28780200.0,100.0,20.0,100.0,20.0,20.0
288.0,-20.0,4.61424605678,337.1273,0.0,28800200.0,100.0,20.0,100.0,20.0,20.0
287.4,-19.8,4.53214066496,319.0134,0.0,28740198.0,100.0,20.0,100.0,20.0,20.0
287.6,-19.8,4.60794414894,323.2031,0.0,28760198.0,100.0,20.0,100.0,20.0,20.0
287.8,-19.8,4.6192359882,326.9732,0.0,28780198.0,100.0,20.0,100.0,20.0,20.0
288.0,-19.8,4.63443333333,326.9732,0.0,28800198.0,100.0,20.0,100.0,20.0,20.0
287.2,-19.6,4.524703125,317.7543,0.0,28720196.0,100.0,20.0,100.0,20.0,20.0
